item_desc,item_type,notes
"Champagne Gift Set",Live,"Premium French champagne"
"Tablet Device","Not Live",
"Ski Lift Passes",Live,"Valid all season"
"Designer Handbag","Not Live","Authentic leather"
"Fishing Charter",Live,
"Coffee Maker Deluxe","Not Live","Programmable with grinder"
"Museum Membership",Live,"Annual family pass"
"Antique Clock","Not Live",
"Brunch Voucher",Live,"Popular local cafe"
"Cookbook Collection","Not Live","Celebrity chef series"
"Massage Package",Live,
"Outdoor Furniture","Not Live","Patio set for four"
"Dance Lessons",Live,"Ballroom and Latin"
"Power Tools Set","Not Live",
"Wine Making Class",Live,"Make your own batch"
"Smart Home Bundle","Not Live",
"Opera Tickets",Live,"Opening night"
"Handcrafted Jewelry","Not Live","Sterling silver"
"Brewery Tour",Live,
"Artisan Cheese Box","Not Live","International selection"
"Meditation Retreat",Live,"Mountain sanctuary"
"Vintage Camera","Not Live",
"Autographed Jersey",Live,"Hall of fame player"
"Chocolate Assortment","Not Live",
"Horseback Riding",Live,"Trail ride for two"
"Ceramic Dinnerware","Not Live",
